team,url,name,detail,SKU,RoyalBlue,price
Minnesota Timberwolves,http://shop.neweracap.com/style/NBA-2-Tone-Gray-Black-59FIFTY-Cap/20876164,Minnesota Timberwolves NBA 2-Tone Gray Black 59FIFTY Cap,"Made of 70% Polyester, Woven, 21% Acrylic, Woven, 9% Wool, Woven",20876164,Gray/Black,$34.99
Milwaukee Bucks,http://shop.neweracap.com/style/NBA-2-Tone-Gray-Black-59FIFTY-Cap/20876163,Milwaukee Bucks NBA 2-Tone Gray Black 59FIFTY Cap,"Made of 70% Polyester, Woven, 21% Acrylic, Woven, 9% Wool, Woven",20876163,Gray/Black,$34.99
Miami Heat,http://shop.neweracap.com/style/NBA-2-Tone-Gray-Black-59FIFTY-Cap/20876162,Miami Heat NBA 2-Tone Gray Black 59FIFTY Cap,"Made of 70% Polyester, Woven, 21% Acrylic, Woven, 9% Wool, Woven",20876162,Gray/Black,$34.99
Houston Rockets,http://shop.neweracap.com/style/NBA-2-Tone-Gray-Black-59FIFTY-Cap/20876156,Houston Rockets NBA 2-Tone Gray Black 59FIFTY Cap,"Made of 70% Polyester, Woven, 21% Acrylic, Woven, 9% Wool, Woven",20876156,Gray/Black,$34.99
Dallas Mavericks,http://shop.neweracap.com/style/NBA-2-Tone-Gray-Black-59FIFTY-Cap/20876152,Dallas Mavericks NBA 2-Tone Gray Black 59FIFTY Cap,"Made of 70% Polyester, Woven, 21% Acrylic, Woven, 9% Wool, Woven",20876152,Gray/Black,$34.99
Orlando Magic,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875868,Orlando Magic NBA Black Graph 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875868,Black,$34.99
Miami Heat,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875855,Miami Heat NBA Black Graph 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875855,Black,$34.99
Detroit Pistons,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875842,Detroit Pistons NBA Black Graph 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875842,Black,$34.99
Venezuela,http://shop.neweracap.com/style/2017-World-Basball-Classic-59FIFTY-Cap/20884337,Venezuela 2017 World Basball Classic 59FIFTY Cap,"Made of 100% Polyester, Woven",20884337,RoyalBlue/Red,$37.99
Venezuela,http://shop.neweracap.com/style/World-Baseball-Classic-59FIFTY-Cap/20884214,Venezuela World Baseball Classic 59FIFTY Cap,"Made of 100% Polyester, Woven",20884214,RoyalBlue/Red,$37.99
Chicago Cubs,http://shop.neweracap.com/style/2016-MLB-WS-CHAMP-59FIFTY-AC-Patch-Cap/20900665,Chicago Cubs 2016 MLB World Series Champ 59FIFTY AC Patch Cap,"Made of 100% Polyester, Woven",20900665,RoyalBlue,$37.99
Golden State Warriors,http://shop.neweracap.com/style/NBA-Black-White-59FIFTY-Cap/20875773,Golden State Warriors NBA Black White 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875773,Black,$34.99
Chicago Bulls,http://shop.neweracap.com/style/NBA-Black-White-59FIFTY-Cap/20875768,Chicago Bulls NBA Black White 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875768,Black,$34.99
San Antonio Spurs,http://shop.neweracap.com/style/NBA-Black-White-59FIFTY-Cap/20875806,San Antonio Spurs NBA Black White 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875806,Black,$34.99
Cleveland Cavaliers,http://shop.neweracap.com/style/NBA-Black-White-59FIFTY-Cap/20875769,Cleveland Cavaliers NBA Black White 59FIFTY Cap,"Made of 80% Acrylic, Woven, 20% Wool, Woven",20875769,Black,$34.99
New York Knicks,http://shop.neweracap.com/style/NBA-Black-White-59FIFTY-Cap/20875789,New York Knicks NBA Black White 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875789,Black,$34.99
Toronto Raptors,http://shop.neweracap.com/style/NBA-Black-White-59FIFTY-Cap/20875808,Toronto Raptors NBA Black White 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875808,Black,$34.99
Sacramento Kings,http://shop.neweracap.com/style/NBA-Black-White-59FIFTY-Cap/20875799,Sacramento Kings NBA Black White 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875799,Black,$34.99
Philadelphia 76ers,http://shop.neweracap.com/style/NBA-Black-White-59FIFTY-Cap/20875797,Philadelphia 76ers NBA Black White 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875797,Black,$34.99
