team,url,name,detail,SKU,color,price
Baltimore Ravens,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839912,Baltimore Ravens 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 98% Polyester, Woven, 2% Spandex, Woven",20839912,Black/Gray/Reflective Silver,$24.99
Atlanta Falcons,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839911,Atlanta Falcons 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20839911,Red/Gray/Reflective Silver,$24.99
Arizona Cardinals,http://shop.neweracap.com/style/2016-NFL-Kids-Training-Camp-39THIRTY-Cap/20839910,Arizona Cardinals 2016 NFL Kids Training Camp 39THIRTY Cap,"Made of 96% Polyester, Woven, 4% Spandex, Woven",20839910,Cardinal Red/Heather/Reflective Silver,$24.99
Chicago Cubs,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570061,Chicago Cubs MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570061,LightNavy,$21.99
Toronto Blue Jays,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570117,Toronto Blue Jays MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570117,RoyalBlue,$21.99
Cincinnati Reds,http://shop.neweracap.com/style/MLB-Jr-Team-Front-Neo-39THIRTY-Cap/20812506,Cincinnati Reds MLB Jr Team Front Neo 39THIRTY Cap,"Made of 50% Cotton, Woven, 50% Polyester, Woven",20812506,Red/Black,$21.99
New York Yankees,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570096,New York Yankees MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570096,Navy,$21.99
Los Angeles Dodgers,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570082,Los Angeles Dodgers MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570082,RoyalBlue,$21.99
Cleveland Indians,http://shop.neweracap.com/style/MLB-Junior-Team-Classic-39THIRTY-Cap/20570070,Cleveland Indians MLB Junior Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20570070,Navy,$21.99
New York Yankees,http://shop.neweracap.com/style/MLB-Jr-Team-Front-Neo-39THIRTY-Cap/20812534,New York Yankees MLB Jr Team Front Neo 39THIRTY Cap,"Made of 50% Cotton, Woven, 50% Polyester, Woven",20812534,Navy/White,$21.99
