team,url,name,detail,SKU,color,price
Auburn Tigers,http://shop.neweracap.com/style/NCAA-Team-Front-Neo-39THIRTY-Cap/20811827,Auburn Tigers NCAA Team Front Neo 39THIRTY Cap,"Made of 50% Cotton, Woven, 50% Polyester, Woven",20811827,Orange/Navy,$24.99
Arizona Wildcats,http://shop.neweracap.com/style/NCAA-Team-Front-Neo-39THIRTY-Cap/20811825,Arizona Wildcats NCAA Team Front Neo 39THIRTY Cap,"Made of 50% Cotton, Woven, 50% Polyester, Woven",20811825,Navy/Red,$24.99
Hartford Yard Goats,http://shop.neweracap.com/style/MiLB-Classic-39THIRTY-Cap/20809922,Hartford Yard Goats MiLB Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20809922,DarkBlue,$29.99
New Orleans Saints,http://shop.neweracap.com/style/NFL-Gridiron-39THIRTY-Cap/20796149,New Orleans Saints NFL Gridiron 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex Blend, Woven",20796149,Black/Heather Gray,$29.99
Cleveland Browns,http://shop.neweracap.com/style/NFL-Gridiron-39THIRTY-Cap/20796138,Cleveland Browns NFL Gridiron 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex Blend, Woven",20796138,Black/Heather Gray,$29.99
Atlanta Falcons,http://shop.neweracap.com/style/NFL-Gridiron-39THIRTY-Cap/20796132,Atlanta Falcons NFL Gridiron 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex Blend, Woven",20796132,Black/Heather Gray,$29.99
San Antonio Spurs,http://shop.neweracap.com/style/NBA-HWC-Graphite-Team-Color-39THIRTY-Cap/20794479,San Antonio Spurs NBA HWC Graphite Team Color 39THIRTY Cap,"Made of 100% Polyester, Woven",20794479,Gray/Teal,$26.99
Chicago Bulls,http://shop.neweracap.com/style/NBA-HWC-Graphite-Team-Color-39THIRTY-Cap/20794451,Chicago Bulls NBA HWC Graphite Team Color 39THIRTY Cap,"Made of 100% Polyester, Woven",20794451,Gray/Red,$26.99
Philadelphia Flyers,http://shop.neweracap.com/style/NHL-2-Tone-Reflective-39THIRTY-Cap/20791275,Philadelphia Flyers NHL 2 Tone Reflective 39THIRTY Cap,"Made of 100% Polyester, Woven",20791275,Black/Orange,$27.99
New York Rangers,http://shop.neweracap.com/style/NHL-2-Tone-Reflective-39THIRTY-Cap/20791274,New York Rangers NHL 2 Tone Reflective 39THIRTY Cap,"Made of 100% Polyester, Woven",20791274,Blue/Red/Reflective Silver,$27.99
Boston Bruins,http://shop.neweracap.com/style/NHL-2-Tone-Reflective-39THIRTY-Cap/20791269,Boston Bruins NHL 2 Tone Reflective 39THIRTY Cap,"Made of 100% Polyester, Woven",20791269,Black/Yellow/Reflective Silver,$27.99
Los Angeles Dodgers,http://shop.neweracap.com/style/MLB-Graphite-Team-Classic-39THIRTY-Cap/20789789,Los Angeles Dodgers MLB Graphite Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20789789,Anthracite/RoyalBlue,$29.99
Cincinnati Reds,http://shop.neweracap.com/style/MLB-Graphite-Team-Classic-39THIRTY-Cap/20789783,Cincinnati Reds MLB Graphite Team Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20789783,Gray/Red,$29.99
New York Yankees,http://shop.neweracap.com/style/MLB-Core-Classic-39THIRTY-Cap/20784901,New York Yankees MLB Core Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20784901,Blue,$29.99
New York Yankees,http://shop.neweracap.com/style/MLB-Core-Classic-39THIRTY-Cap/20784899,New York Yankees MLB Core Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20784899,Navy,$29.99
Atlanta Falcons,http://shop.neweracap.com/style/NFL-Gold-Collection-On-Field-39THIRTY-Cap/20784291,Atlanta Falcons NFL Gold Collection On Field 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20784291,Red/DarkGray,$29.99
New Orleans Saints,http://shop.neweracap.com/style/NFL-Gold-Collection-On-Field-39THIRTY-Cap/20784008,New Orleans Saints NFL Gold Collection On Field 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20784008,Black/DarkGray,$29.99
Oklahoma City Dodgers,http://shop.neweracap.com/style/MiLB-Classic-39THIRTY-Cap/20782471,Oklahoma City Dodgers MiLB Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20782471,Gray/RoyalBlue,$29.99
Oklahoma City Dodgers,http://shop.neweracap.com/style/MiLB-Classic-39THIRTY-Cap/20782471,Oklahoma City Dodgers MiLB Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20782471,Gray/RoyalBlue,$29.99
Tacoma Rainiers,http://shop.neweracap.com/style/MiLB-Classic-39THIRTY-Cap/20782468,Tacoma Rainiers MiLB Classic 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20782468,Red,$29.99
