team,url,name,detail,SKU,color,price
Seattle Seahawks,http://shop.neweracap.com/style/NFL-Infant-My-1st-9FIFTY-Snapback-Cap/20759148,Seattle Seahawks NFL Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20759148,Navy/Lime,$19.99
San Diego Chargers,http://shop.neweracap.com/style/NFL-Infant-My-1st-9FIFTY-Snapback-Cap/20759141,San Diego Chargers NFL Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20759141,Navy/LightBlue,$19.99
New Orleans Saints,http://shop.neweracap.com/style/NFL-Infant-My-1st-9FIFTY-Snapback-Cap/20759126,New Orleans Saints NFL Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20759126,Black/Gold,$19.99
New England Patriots,http://shop.neweracap.com/style/NFL-Infant-My-1st-9FIFTY-Snapback-Cap/20759119,New England Patriots NFL Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20759119,Navy/Red,$19.99
Denver Broncos,http://shop.neweracap.com/style/NFL-Infant-My-1st-9FIFTY-Snapback-Cap/20759101,Denver Broncos NFL Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20759101,Orange/Navy,$19.99
Kansas City Royals,http://shop.neweracap.com/style/MLB-Infant-My-1st-9FIFTY-Snapback-Cap/20700822,Kansas City Royals MLB Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20700822,Blue/SkyBlue,$17.99
St. Louis Cardinals,http://shop.neweracap.com/style/MLB-Infant-My-1st-9FIFTY-Snapback-Cap/20700800,St. Louis Cardinals MLB Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20700800,Navy/Red,$17.99
New York Yankees,http://shop.neweracap.com/style/MLB-Youth-Major-Wool-9FIFTY-Snapback-Cap/20619392,New York Yankees MLB Youth Major Wool 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20619392,Navy,$24.99
Los Angeles Dodgers,http://shop.neweracap.com/style/MLB-Youth-Major-Wool-9FIFTY-Snapback-Cap/20619384,Los Angeles Dodgers MLB Youth Major Wool 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20619384,RoyalBlue,$24.99
Atlanta Braves,http://shop.neweracap.com/style/MLB-Youth-Major-Wool-9FIFTY-Snapback-Cap/20619371,Atlanta Braves MLB Youth Major Wool 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20619371,Navy,$24.99
Indiana Pacers,http://shop.neweracap.com/style/NBA-HWC-Youth-All-Day-9FIFTY-Snapback-Cap/20815881,Indiana Pacers NBA HWC Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20815881,Navy,$24.99
Boston Celtics,http://shop.neweracap.com/style/NBA-HWC-Youth-All-Day-9FIFTY-Snapback-Cap/20815871,Boston Celtics NBA HWC Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20815871,Kelly Green,$24.99
Philadelphia Phillies,http://shop.neweracap.com/style/MLB-Youth-Major-Wool-9FIFTY-Snapback-Cap/20815155,Philadelphia Phillies MLB Youth Major Wool 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20815155,Red/Red,$24.99
Boston Celtics,http://shop.neweracap.com/style/NBA-HWC-Youth-Heather-Team-Color-9FIFTY-Snapback-Cap/20815119,Boston Celtics NBA HWC Youth Heather Team Color 9FIFTY Snapback Cap,"Made of 80% Acrylic, Woven, 20% Wool, Woven",20815119,Heather Gray,$24.99
Philadelphia 76ers,http://shop.neweracap.com/style/NBA-HWC-Infant-My-1st-9FIFTY-Snapback-Cap/20807636,Philadelphia 76ers NBA HWC Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20807636,RoyalBlue/Red,$24.99
Kylo Ren,http://shop.neweracap.com/style/Youth-Headshot-9FIFTY-Snapback-Cap/20789988,"Star Wars ""Kylo Ren"" Youth Headshot 9FIFTY Snapback Cap","Made of 100% Polyester, Woven",20789988,Black/Red,$24.99
Philadelphia Eagles,http://shop.neweracap.com/style/NFL-Infant-My-1st-9FIFTY-Snapback-Cap/20759133,Philadelphia Eagles NFL Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20759133,Green/Black,$19.99
Miami Dolphins,http://shop.neweracap.com/style/NFL-Infant-My-1st-9FIFTY-Snapback-Cap/20759109,Miami Dolphins NFL Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20759109,Teal/Orange,$19.99
Green Bay Packers,http://shop.neweracap.com/style/NFL-Infant-My-1st-9FIFTY-Snapback-Cap/20759104,Green Bay Packers NFL Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20759104,Green/Yellow,$19.99
Cleveland Browns,http://shop.neweracap.com/style/NFL-Infant-My-1st-9FIFTY-Snapback-Cap/20759100,Cleveland Browns NFL Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20759100,Brown/Orange,$19.99
Cincinnati Bengals,http://shop.neweracap.com/style/NFL-Infant-My-1st-9FIFTY-Snapback-Cap/20759098,Cincinnati Bengals NFL Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20759098,Black/Orange,$19.99
Chicago Bears,http://shop.neweracap.com/style/NFL-Infant-My-1st-9FIFTY-Snapback-Cap/20759096,Chicago Bears NFL Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20759096,Navy/Orange,$19.99
Atlanta Falcons,http://shop.neweracap.com/style/NFL-Infant-My-1st-9FIFTY-Snapback-Cap/20759088,Atlanta Falcons NFL Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20759088,Black/Red,$19.99
Texas Rangers,http://shop.neweracap.com/style/MLB-Infant-My-1st-9FIFTY-Snapback-Cap/20700816,Texas Rangers MLB Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20700816,Navy/Red,$17.99
San Francisco Giants,http://shop.neweracap.com/style/MLB-Infant-My-1st-9FIFTY-Snapback-Cap/20700805,San Francisco Giants MLB Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20700805,Black/Orange,$17.99
Atlanta Braves,http://shop.neweracap.com/style/MLB-Infant-My-1st-9FIFTY-Snapback-Cap/20700798,Atlanta Braves MLB Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20700798,Navy/Red,$17.99
Washington Nationals,http://shop.neweracap.com/style/MLB-Youth-Major-Wool-9FIFTY-Snapback-Cap/20619410,Washington Nationals MLB Youth Major Wool 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20619410,Navy,$24.99
Detroit Tigers,http://shop.neweracap.com/style/MLB-Youth-Major-Wool-9FIFTY-Snapback-Cap/20619379,Detroit Tigers MLB Youth Major Wool 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20619379,Navy,$24.99
Chicago White Sox,http://shop.neweracap.com/style/MLB-Youth-Major-Wool-9FIFTY-Snapback-Cap/20619375,Chicago White Sox MLB Youth Major Wool 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20619375,Black,$24.99
Boston Red Sox,http://shop.neweracap.com/style/MLB-Youth-Major-Wool-9FIFTY-Snapback-Cap/20619373,Boston Red Sox MLB Youth Major Wool 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20619373,Red,$24.99
Los Angeles Angels,http://shop.neweracap.com/style/MLB-Youth-Major-Wool-9FIFTY-Snapback-Cap/20619369,Los Angeles Angels MLB Youth Major Wool 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20619369,Red,$24.99
Miami Heat,http://shop.neweracap.com/style/NBA-HWC-Kids-2-Tone-9FIFTY-Snapback-Cap/20859674,Miami Heat NBA HWC Kids 2 Tone 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20859674,Red/Black,$24.99
Sacramento Kings,http://shop.neweracap.com/style/NBA-HWC-Youth-All-Day-9FIFTY-Snapback-Cap/20815891,Sacramento Kings NBA HWC Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20815891,Purple,$24.99
Phoenix Suns,http://shop.neweracap.com/style/NBA-HWC-Youth-All-Day-9FIFTY-Snapback-Cap/20815889,Phoenix Suns NBA HWC Youth All Day 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20815889,Orange,$24.99
Milwaukee Bucks,http://shop.neweracap.com/style/NBA-HWC-Youth-All-Day-9FIFTY-Snapback-Cap/20815884,Milwaukee Bucks NBA HWC Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20815884,Black,$24.99
Houston Rockets,http://shop.neweracap.com/style/NBA-HWC-Youth-All-Day-9FIFTY-Snapback-Cap/20815880,Houston Rockets NBA HWC Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20815880,Red,$24.99
Denver Nuggets,http://shop.neweracap.com/style/NBA-HWC-Youth-All-Day-9FIFTY-Snapback-Cap/20815877,Denver Nuggets NBA HWC Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20815877,RoyalBlue,$24.99
Dallas Mavericks,http://shop.neweracap.com/style/NBA-HWC-Youth-All-Day-9FIFTY-Snapback-Cap/20815876,Dallas Mavericks NBA HWC Youth All Day 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20815876,RoyalBlue,$24.99
Oakland Athletics,http://shop.neweracap.com/style/MLB-Youth-Major-Wool-9FIFTY-Snapback-Cap/20815157,Oakland Athletics MLB Youth Major Wool 9FIFTY Snapback Cap,"Made of 70% Wool, Woven, 30% Polyester, Woven",20815157,Kelly Green/Gold,$24.99
Colorado Rockies,http://shop.neweracap.com/style/MLB-Youth-Major-Wool-9FIFTY-Snapback-Cap/20815153,Colorado Rockies MLB Youth Major Wool 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20815153,Black/Black,$24.99
Milwaukee Brewers,http://shop.neweracap.com/style/MLB-Youth-Major-Wool-9FIFTY-Snapback-Cap/20815152,Milwaukee Brewers MLB Youth Major Wool 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20815152,RoyalBlue/RoyalBlue,$24.99
Kansas City Royals,http://shop.neweracap.com/style/MLB-Youth-Major-Wool-9FIFTY-Snapback-Cap/20815151,Kansas City Royals MLB Youth Major Wool 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20815151,RoyalBlue,$24.99
Washington Nationals,http://shop.neweracap.com/style/MLB-Youth-Major-Wool-9FIFTY-Snapback-Cap/20815149,Washington Nationals MLB Youth Major Wool 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20815149,Navy/Navy,$24.99
Boston Red Sox,http://shop.neweracap.com/style/MLB-Youth-Major-Wool-9FIFTY-Snapback-Cap/20815146,Boston Red Sox MLB Youth Major Wool 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20815146,Navy/Navy,$24.99
New Jersey Nets,http://shop.neweracap.com/style/NBA-HWC-Youth-Heather-Team-Color-9FIFTY-Snapback-Cap/20815134,New Jersey Nets NBA HWC Youth Heather Team Color 9FIFTY Snapback Cap,"Made of 80% Acrylic, Woven, 20% Wool, Woven",20815134,Heather Gray,$24.99
Milwaukee Bucks,http://shop.neweracap.com/style/NBA-HWC-Youth-Heather-Team-Color-9FIFTY-Snapback-Cap/20815132,Milwaukee Bucks NBA HWC Youth Heather Team Color 9FIFTY Snapback Cap,"Made of 80% Acrylic, Woven, 20% Wool, Woven",20815132,Heather Gray,$24.99
Denver Nuggets,http://shop.neweracap.com/style/NBA-HWC-Youth-Heather-Team-Color-9FIFTY-Snapback-Cap/20815124,Denver Nuggets NBA HWC Youth Heather Team Color 9FIFTY Snapback Cap,"Made of 80% Acrylic, Woven, 20% Wool, Woven",20815124,Heather Gray,$24.99
New Jersey Nets,http://shop.neweracap.com/style/NBA-HWC-Youth-Black-White-9FIFTY-Snapback-Cap/20815085,New Jersey Nets NBA HWC Youth Black White 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20815085,Black,$24.99
Milwaukee Bucks,http://shop.neweracap.com/style/NBA-HWC-Youth-Black-White-9FIFTY-Snapback-Cap/20815083,Milwaukee Bucks NBA HWC Youth Black White 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20815083,Black,$24.99
Houston Rockets,http://shop.neweracap.com/style/NBA-HWC-Youth-Black-White-9FIFTY-Snapback-Cap/20815081,Houston Rockets NBA HWC Youth Black White 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20815081,Black,$24.99
Detroit Pistons,http://shop.neweracap.com/style/NBA-HWC-Youth-Black-White-9FIFTY-Snapback-Cap/20815079,Detroit Pistons NBA HWC Youth Black White 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20815079,Black,$24.99
