team,url,name,detail,SKU,color,price
Milwaukee Bucks,http://shop.neweracap.com/style/NBA-HWC-Blurred-Trick-9FIFTY-Snapback-Cap/20865822,Milwaukee Bucks NBA HWC Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865822,Heather/Black,$31.99
Miami Heat,http://shop.neweracap.com/style/NBA-HWC-Blurred-Trick-9FIFTY-Snapback-Cap/20865821,Miami Heat NBA HWC Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865821,Heather/Black,$31.99
Indiana Pacers,http://shop.neweracap.com/style/NBA-HWC-Blurred-Trick-9FIFTY-Snapback-Cap/20865819,Indiana Pacers NBA HWC Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 46% Polyester, Woven, 4% Spandex, Woven",20865819,Gray/Gold,$31.99
Detroit Pistons,http://shop.neweracap.com/style/NBA-HWC-Blurred-Trick-9FIFTY-Snapback-Cap/20865816,Detroit Pistons NBA HWC Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865816,Heather/Aqua,$31.99
Dallas Mavericks,http://shop.neweracap.com/style/NBA-HWC-Blurred-Trick-9FIFTY-Snapback-Cap/20865814,Dallas Mavericks NBA HWC Blurred Trick 9FIFTY Snapback Cap,"Made of 49% Cotton, Woven, 47% Polyester, Woven, 4% Spandex, Woven",20865814,Gray/RoyalBlue,$31.99
Charlotte Hornets,http://shop.neweracap.com/style/NBA-HWC-Blurred-Trick-9FIFTY-Snapback-Cap/20865811,Charlotte Hornets NBA HWC Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865811,Heather/Aqua,$31.99
Boston Celtics,http://shop.neweracap.com/style/NBA-HWC-Blurred-Trick-9FIFTY-Snapback-Cap/20865810,Boston Celtics NBA HWC Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865810,Heather/Kelly Green,$31.99
Atlanta Hawks,http://shop.neweracap.com/style/NBA-HWC-Blurred-Trick-9FIFTY-Snapback-Cap/20865809,Atlanta Hawks NBA HWC Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865809,Heather/Red,$31.99
Tyrod Taylor,http://shop.neweracap.com/style/NFL-Player-Designed-9FIFTY-Snapback-Cap/20884000,"Buffalo Bills ""Tyrod Taylor"" NFL Player Designed Cap","Made of 100% Polyester, Woven",20884000,Bright Royal/Bright Royal,$31.99
Buffalo Sabres,http://shop.neweracap.com/style/NHL-Crackled-Leather-9FIFTY-Snapback-Cap/20883409,Buffalo Sabres NHL Crackled Leather 9FIFTY Snapback Cap,"Made of 50% Polyurethane, 50% Polyester, Woven",20883409,Black/Metallic Gold,$39.99
Washington Redskins,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865650,Washington Redskins NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865650,Heather/Maroon,$31.99
Pittsburgh Steelers,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865644,Pittsburgh Steelers NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865644,Heather/Black,$31.99
Oakland Raiders,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865642,Oakland Raiders NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20865642,Black/Black,$31.99
Minnesota Vikings,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865637,Minnesota Vikings NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20865637,Black/Purple,$31.99
Green Bay Packers,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865630,Green Bay Packers NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865630,Heather/Green,$31.99
Detroit Lions,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865629,Detroit Lions NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865629,Heather/Blue,$31.99
Denver Broncos,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865628,Denver Broncos NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865628,Heather/Orange,$31.99
Cincinnati Bengals,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865626,Cincinnati Bengals NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865626,Heather/Black,$31.99
Los Angeles Kings,http://shop.neweracap.com/style/NHL-Crackled-Leather-9FIFTY-Snapback-Cap/20883413,Los Angeles Kings NHL Crackled Leather 9FIFTY Snapback Cap,"Made of 50% Polyurethane, 50% Polyester, Woven",20883413,Black/Metallic Gold,$39.99
Toronto Maple Leafs,http://shop.neweracap.com/style/NHL-Crackled-Leather-9FIFTY-Snapback-Cap/20883412,Toronto Maple Leafs NHL Crackled Leather 9FIFTY Snapback Cap,"Made of 50% Polyurethane, 50% Polyester, Woven",20883412,Black/Metallic Gold,$39.99
New York Rangers,http://shop.neweracap.com/style/NHL-Crackled-Leather-9FIFTY-Snapback-Cap/20883411,New York Rangers NHL Crackled Leather 9FIFTY Snapback Cap,"Made of 50% Polyurethane, 50% Polyester, Woven",20883411,Black/Metallic Gold,$39.99
