team,url,name,SKU,price,color,detail
Washington Redskins,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841725,Washington Redskins 2016 Official NFL Sideline 59FIFTY Cap,20841725,$25.99,Gold,"Made of 100% Polyester, Woven"
Tampa Bay Buccaneers,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841724,Tampa Bay Buccaneers 2016 Official NFL Sideline 59FIFTY Cap,20841724,$25.99,Orange,"Made of 100% Polyester, Woven"
Pittsburgh Steelers,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841722,Pittsburgh Steelers 2016 Official NFL Sideline 59FIFTY Cap,20841722,$25.99,Yellow,"Made of 100% Polyester, Woven"
New York Titans,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841721,New York Titans 2016 Official NFL Sideline 59FIFTY Cap,20841721,$25.99,Navy,"Made of 100% Polyester, Woven"
New England Patriots,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841720,New England Patriots 2016 Official NFL Sideline 59FIFTY Cap,20841720,$25.99,Navy,"Made of 100% Polyester, Woven"
Miami Dolphins,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841719,Miami Dolphins 2016 Official NFL Sideline 59FIFTY Cap,20841719,$25.99,Aqua,"Made of 100% Polyester, Woven"
Indianapolis Colts,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841718,Indianapolis Colts 2016 Official NFL Sideline 59FIFTY Cap,20841718,$25.99,RoyalBlue,"Made of 100% Polyester, Woven"
Green Bay Packers,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841717,Green Bay Packers 2016 Official NFL Sideline 59FIFTY Cap,20841717,$25.99,Navy,"Made of 100% Polyester, Woven"
Detroit Lions,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841716,Detroit Lions 2016 Official NFL Sideline 59FIFTY Cap,20841716,$25.99,LightBlue,"Made of 100% Polyester, Woven"
Chicago Bears,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841715,Chicago Bears 2016 Official NFL Sideline 59FIFTY Cap,20841715,$25.99,Navy,"Made of 100% Polyester, Woven"
Buffalo Bills,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841714,Buffalo Bills 2016 Official NFL Sideline 59FIFTY Cap,20841714,$25.99,RoyalBlue,"Made of 100% Polyester, Woven"
Washington Redskins,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841711,Washington Redskins 2016 Official NFL Sideline 59FIFTY Cap,20841711,$25.99,Maroon,"Made of 100% Polyester, Woven"
Tennessee Titans,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841710,Tennessee Titans 2016 Official NFL Sideline 59FIFTY Cap,20841710,$25.99,Navy,"Made of 100% Polyester, Woven"
Tampa Bay Buccaneers,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841709,Tampa Bay Buccaneers 2016 Official NFL Sideline 59FIFTY Cap,20841709,$25.99,Red,"Made of 100% Polyester, Woven"
Los Angeles Rams,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841708,Los Angeles Rams 2016 Official NFL Sideline 59FIFTY Cap,20841708,$25.99,Navy,"Made of 100% Polyester, Woven"
San Diego Chargers,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841703,San Diego Chargers 2016 Official NFL Sideline 59FIFTY Cap,20841703,$25.99,Navy,"Made of 100% Polyester, Woven"
Philadelphia Eagles,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841700,Philadelphia Eagles 2016 Official NFL Sideline 59FIFTY Cap,20841700,$25.99,Green,"Made of 100% Polyester, Woven"
New York Jets,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841698,New York Jets 2016 Official NFL Sideline 59FIFTY Cap,20841698,$25.99,Green,"Made of 100% Polyester, Woven"
New York Giants,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841697,New York Giants 2016 Official NFL Sideline 59FIFTY Cap,20841697,$25.99,RoyalBlue,"Made of 100% Polyester, Woven"
New Orleans Saints,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841696,New Orleans Saints 2016 Official NFL Sideline 59FIFTY Cap,20841696,$25.99,Black,"Made of 100% Polyester, Woven"
Minnesota Vikings,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841694,Minnesota Vikings 2016 Official NFL Sideline 59FIFTY Cap,20841694,$25.99,Purple,"Made of 100% Polyester, Woven"
Jacksonville Jaguars,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841691,Jacksonville Jaguars 2016 Official NFL Sideline 59FIFTY Cap,20841691,$25.99,Black,"Made of 100% Polyester, Woven"
Indianapolis Colts,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841690,Indianapolis Colts 2016 Official NFL Sideline 59FIFTY Cap,20841690,$25.99,RoyalBlue,"Made of 100% Polyester, Woven"
Houston Texans,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841689,Houston Texans 2016 Official NFL Sideline 59FIFTY Cap,20841689,$25.99,Navy,"Made of 100% Polyester, Woven"
Detroit Lions,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841687,Detroit Lions 2016 Official NFL Sideline 59FIFTY Cap,20841687,$25.99,LightBlue,"Made of 100% Polyester, Woven"
Cleveland Browns,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841685,Cleveland Browns 2016 Official NFL Sideline 59FIFTY Cap,20841685,$25.99,Brown,"Made of 100% Polyester, Woven"
Cincinnati Bengals,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841684,Cincinnati Bengals 2016 Official NFL Sideline 59FIFTY Cap,20841684,$25.99,Black,"Made of 100% Polyester, Woven"
Chicago Bears,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841682,Chicago Bears 2016 Official NFL Sideline 59FIFTY Cap,20841682,$25.99,Navy,"Made of 100% Polyester, Woven"
